問題文,正解,解説
水とエタノールの沸点の差は12℃である。,×,水の沸点は100℃、エタノールは78℃であることを理解したうえで、差を求める必要がある。　100－78＝22なので答えは×
アンモニアを集めるとき、水上置換法を使わないのは、アンモニアは人体に有害だからである。,×,アンモニアは水に溶けやすいため、水上置換法は使われない。
酸素の元素記号は「O」である,○,化学式なら「O ₂」
中和をするときは吸熱反応が起こる。,×,発熱反応が起こり、熱くなる。
醤油は電流を通す。,○,主成分である食塩（塩化ナトリウム）が水に溶けて「イオン」に分かれ、そのイオンが電気を運ぶ（電解質水溶液となる）ため
お酢は酸性である,○,酢酸といい、酸性だから
塩(えん)は酸の陽イオンとアルカリの陰イオンが結びついたものである,×,酸の陰イオンとアルカリの陽イオン
酸とアルカリを混ぜた時にできる物質を塩基性化合物という,×,塩ができる　というのが答えであるため×
水にBTB溶液を入れて緑色にし、そこに入浴剤（成分：炭酸水素ナトリウム、着色料：無）を溶かすと、炭酸ガスが発生し溶けるので、色は黄色になる。,×,炭酸水素ナトリウム水溶液は、弱いアルカリ性だから、青色である。
雷は雲の中で蓄えられた静電気の放電現象である。,○,微妙なラインを突きます。
 霰（あられ）と霙（みぞれ）の違いは粒の大きさ,×,あられは直径5ミリ未満の氷の粒。みぞれは、雪が溶けながら落ちて来ること。
SDGsの達成するべき目標は、18個ある。,×,正解は17個です。復習しておきましょう。
